heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,28.6900142,0.0,29.894269822,7.330322654,31.098525444,14.660645308,32.302781065999994,21.990967962,33.507036688,29.321290616,34.71129231,36.65161327
1,31.2084578,0.0,31.2080653736,7.581376394,31.2076729472,15.162752788,31.207280520799998,22.744129182,31.2068880944,30.325505576,31.206495668,37.90688197
2,27.6996061,0.0,28.3360847384,7.558768658,28.972563376800004,15.117537316,29.6090420152,22.676305973999998,30.245520653600003,30.235074632,30.881999292000003,37.79384329
3,27.9874884,0.0,29.1148936776,7.335760304000001,30.2422989552,14.671520608000002,31.3697042328,22.007280912,32.4971095104,29.343041216000003,33.624514788,36.67880152
4,28.1626729,0.0,29.909312638000003,7.269619798,31.655952376000002,14.539239596,33.402592114,21.808859394,35.149231852,29.078479192,36.89587159,36.34809899
5,28.0213627,0.0,29.622689764,7.269532300000001,31.224016828,14.539064600000001,32.825343892,21.8085969,34.426670955999995,29.078129200000003,36.02799802,36.3476615
6,29.0016469,0.0,30.197298192,7.269526964000001,31.392949484,14.539053928000001,32.58860077599999,21.808580892000002,33.784252067999994,29.078107856000003,34.979903359999994,36.34763482
7,27.7816746,0.0,28.393800382200002,7.988159754000001,29.0059261644,15.976319508000001,29.618051946599998,23.964479262,30.2301777288,31.952639016000003,30.842303511,39.94079877
8,31.1353806,0.0,31.43449345,8.860447086,31.733606299999998,17.720894172,32.03271915,26.581341258000002,32.331832,35.441788344,32.63094485,44.30223543
9,37.2348662,0.0,36.962456728,9.164335384000001,36.690047256,18.328670768000002,36.417637784,27.493006152,36.145228312,36.657341536000004,35.87281884,45.82167692
10,40.0628793,0.0,39.79807264,9.164344611999999,39.533265979999996,18.328689223999998,39.26845932,27.493033836,39.00365266,36.657378447999996,38.738845999999995,45.82172306
11,43.6825651,0.0,43.381197258,9.16435247,43.079829415999995,18.32870494,42.778461574000005,27.49305741,42.477093732,36.65740988,42.17572589,45.82176235
12,46.7337019,0.0,46.13741464,9.164352482,45.541127380000006,18.328704964,44.944840119999995,27.493057445999998,44.348552860000005,36.657409928,43.7522656,45.82176241
13,44.5226231,0.0,44.51039567,9.164352468,44.49816824,18.328704936,44.48594081,27.493057403999998,44.47371337999999,36.657409872,44.46148595,45.82176234
14,37.0667566,0.0,38.214453314000004,9.164330118,39.362150028,18.328660236,40.50984674200001,27.492990353999996,41.657543456,36.657320472,42.805240170000005,45.82165059
15,33.4570634,0.0,34.514664224,7.83449636,35.572265048000006,15.66899272,36.629865871999996,23.503489079999998,37.687466696,31.33798544,38.74506752,39.1724818
16,31.3764587,0.0,32.484580928,7.1762879459999995,33.592703156,14.352575891999999,34.700825384,21.528863837999996,35.808947612,28.705151783999998,36.917069839999996,35.88143973
17,32.2458528,0.0,33.210124042000004,6.775733820000001,34.174395284,13.551467640000002,35.138666526,20.32720146,36.102937768000004,27.102935280000004,37.06720901,33.8786691
18,34.0323342,0.0,35.154160092000005,6.62089117,36.275985984,13.24178234,37.397811876,19.86267351,38.519637767999996,26.48356468,39.64146366,33.10445585
19,37.0129465,0.0,37.2203713652,6.717951456000001,37.4277962304,13.435902912000001,37.6352210956,20.153854368,37.8426459608,26.871805824000003,38.050070826,33.58975728
20,40.3579671,0.0,39.42203675020001,7.100995772000001,38.486106400400004,14.201991544000002,37.5501760506,21.302987316,36.6142457008,28.403983088000004,35.678315351,35.50497886
21,37.9364121,0.0,37.8009842604,7.269551788,37.6655564208,14.539103576,37.530128581199996,21.808655364,37.3947007416,29.078207152,37.259272902,36.34775894
22,35.6285041,0.0,35.805654148,7.2698590659999995,35.982804196000004,14.539718131999999,36.159954244000005,21.809577197999996,36.337104292,29.079436263999998,36.51425434,36.34929533
23,31.3012444,0.0,32.226146792,7.2700209220000005,33.151049184,14.540041844000001,34.075951576,21.810062766,35.000853968,29.080083688000002,35.92575636,36.35010461
24,32.1525173,0.0,32.815649634,7.270012518000001,33.478781968,14.540025036000001,34.141914302,21.810037554,34.805046636,29.080050072000002,35.468178970000004,36.35006259
25,34.4690083,0.0,35.242789162,7.270114878,36.016570024,14.540229756,36.790350886,21.810344634,37.564131748,29.080459512,38.337912610000004,36.35057439
26,31.9061382,0.0,33.290269806000005,7.270355108,34.674401412,14.540710216,36.058533018,21.811065323999998,37.442664624,29.081420432,38.82679623,36.35177554
27,31.5493311,0.0,33.183438524,7.270777280000001,34.817545948,14.541554560000002,36.451653371999996,21.81233184,38.085760796,29.083109120000003,39.71986822,36.3538864
28,31.2873891,0.0,33.072022446,7.272175804,34.856655792,14.544351608,36.641289138,21.816527412,38.425922484,29.088703216,40.21055583,36.36087902
29,30.0857013,0.0,31.993448556000004,7.556934926,33.901195812000005,15.113869852,35.808943068000005,22.670804777999997,37.716690324000005,30.227739704,39.624437580000006,37.78467463
30,31.4038857,0.0,33.210079134000004,8.577328968000002,35.016272568000005,17.154657936000003,36.822466002,25.731986904,38.628659436,34.309315872000006,40.43485287,42.88664484
31,35.1676041,0.0,36.297133802,8.650511676,37.426663504000004,17.301023352,38.556193206,25.951535028000002,39.685722908,34.602046704,40.81525261,43.25255838
32,35.8261214,0.0,38.190908470000004,8.633232242,40.55569554,17.266464484,42.92048261000001,25.899696726,45.28526968,34.532928968,47.650056750000005,43.16616121
33,39.428769,0.0,41.68295457400001,8.688105796,43.937140148,17.376211592,46.191325721999995,26.064317388000003,48.445511296,34.752423184,50.69969687,43.44052898
34,51.4272051,0.0,51.841450632000004,8.759642058,52.255696164,17.519284116,52.669941696,26.278926174,53.084187228000005,35.038568232,53.49843276,43.79821029
35,55.9403869,0.0,55.83356992,8.886320723999999,55.72675294,17.772641447999998,55.61993595999999,26.658962172,55.513118979999994,35.545282895999996,55.406302,44.43160362
36,59.5799479,0.0,58.427540310000005,9.022335878,57.27513272,18.044671756,56.12272513,27.067007634,54.970317539999996,36.089343512,53.81790995,45.11167939
37,57.8319686,0.0,56.45797258,8.990558523999999,55.08397656,17.981117047999998,53.709980540000004,26.971675572,52.335984520000004,35.962234095999996,50.961988500000004,44.95279262
38,54.2666448,0.0,52.733257236,8.787504918000002,51.199869672,17.575009836000003,49.666482108,26.362514754,48.133094544,35.150019672000006,46.59970698,43.93752459
39,50.8549101,0.0,49.663069301,8.358658426,48.471228502,16.717316852,47.279387703,25.075975277999998,46.087546904,33.434633704,44.895706105,41.79329213
40,40.2052368,0.0,40.9286696898,5.1882167720000005,41.6521025796,10.376433544000001,42.375535469400006,15.564650315999998,43.0989683592,20.752867088000002,43.822401249,25.94108386
41,40.5821938,0.0,41.3434548396,3.096176688,42.1047158792,6.192353376,42.8659769188,9.288530064,43.6272379584,12.384706752,44.388498998,15.48088344
42,45.9555047,0.0,45.947948295,3.6640505740000004,45.94039189,7.328101148000001,45.932835485,10.992151722000001,45.92527908,14.656202296000002,45.917722675,18.32025287
43,49.2856458,0.0,48.9905272448,4.8641754100000005,48.6954086896,9.728350820000001,48.400290134399995,14.592526229999999,48.1051715792,19.456701640000002,47.810053024,24.32087705
44,43.8713254,0.0,44.199085439600005,5.745513484,44.5268454792,11.491026968,44.8546055188,17.236540452,45.182365558399994,22.982053936,45.510125597999995,28.72756742
45,43.169456,0.0,43.266940014199996,6.393191430000001,43.364424028399995,12.786382860000002,43.4619080426,19.17957429,43.55939205679999,25.572765720000003,43.656876071,31.96595715
