heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,28.6900142,0.0,33.388076198,3.637297658,38.086138196,7.274595316,42.784200194,10.911892973999999,47.482262192,14.549190632,52.18032419,18.18648829
1,31.2084578,0.0,35.559451706000004,3.637297658,39.910445612000004,7.274595316,44.261439518,10.911892973999999,48.612433424,14.549190632,52.96342733,18.18648829
2,27.6996061,0.0,32.644094288000005,3.637297658,37.588582476,7.274595316,42.533070664,10.911892973999999,47.477558852,14.549190632,52.42204704,18.18648829
3,27.9874884,0.0,32.783539178,3.637297658,37.579589956,7.274595316,42.375640734,10.911892973999999,47.171691511999995,14.549190632,51.96774229,18.18648829
4,28.1626729,0.0,33.19020346800001,3.637297658,38.217734036,7.274595316,43.245264604000006,10.911892973999999,48.272795172,14.549190632,53.300325740000005,18.18648829
5,28.0213627,0.0,32.898078204,3.637297658,37.774793708000004,7.274595316,42.651509212,10.911892973999999,47.528224716,14.549190632,52.40494022,18.18648829
6,29.0016469,0.0,33.016110878000006,3.637297658,37.030574856,7.274595316,41.045038833999996,10.911892973999999,45.059502812000005,14.549190632,49.07396679,18.18648829
7,27.7816746,0.0,31.120860648,3.637297658,34.460046696,7.274595316,37.799232744,10.911892973999999,41.138418791999996,14.549190632,44.47760484,18.18648829
8,31.1353806,0.0,35.567772178,3.637297658,40.000163756,7.274595316,44.432555334,10.911892973999999,48.864946912,14.549190632,53.29733849,18.18648829
9,37.2348662,0.0,41.002224456,3.637297658,44.769582712,7.274595316,48.536940967999996,10.911892973999999,52.304299224,14.549190632,56.07165748,18.18648829
10,40.0628793,0.0,44.066923010000004,3.637297658,48.07096672,7.274595316,52.075010430000006,10.911892973999999,56.079054140000004,14.549190632,60.08309785,18.18648829
11,43.6825651,0.0,46.51479676,3.637297658,49.34702842,7.274595316,52.17926008,10.911892973999999,55.011491740000004,14.549190632,57.8437234,18.18648829
12,46.7337019,0.0,48.099444574,3.637297658,49.46518724800001,7.274595316,50.830929922,10.911892973999999,52.196672596000006,14.549190632,53.56241527,18.18648829
13,44.5226231,0.0,46.955673088,3.637297658,49.388723076,7.274595316,51.821773064,10.911892973999999,54.254823052,14.549190632,56.68787304,18.18648829
14,37.0667566,0.0,40.3793345,3.637297658,43.6919124,7.274595316,47.0044903,10.911892973999999,50.3170682,14.549190632,53.6296461,18.18648829
15,33.4570634,0.0,37.438412750000005,3.6372976379999997,41.4197621,7.2745952759999994,45.40111145,10.911892914,49.382460800000004,14.549190551999999,53.363810150000006,18.18648819
16,31.3764587,0.0,36.56859395,3.1563333360000003,41.7607292,6.312666672000001,46.95286445,9.469000008,52.14499970000001,12.625333344000001,57.33713495000001,15.78166668
17,32.2458528,0.0,37.750404812,3.09631069,43.254956824000004,6.19262138,48.759508835999995,9.28893207,54.264060848,12.38524276,59.76861286,15.48155345
18,34.0323342,0.0,39.065611858000004,3.01332998,44.098889516,6.02665996,49.132167174,9.03998994,54.165444832000006,12.05331992,59.19872249,15.0666499
19,37.0129465,0.0,41.329809728,3.096084714,45.646672955999996,6.192169428,49.96353618399999,9.288254142,54.280399411999994,12.384338856,58.59726264,15.48042357
20,40.3579671,0.0,43.72686574000001,3.0963361220000003,47.095764380000006,6.192672244000001,50.46466302,9.289008366,53.83356166,12.385344488000001,57.2024603,15.48168061
21,37.9364121,0.0,41.75015053600001,3.096480876,45.563888972,6.192961752,49.377627408,9.289442628,53.19136584400001,12.385923504,57.005104280000005,15.48240438
22,35.6285041,0.0,39.799688214,3.096640892,43.970872328,6.193281784,48.142056442,9.289922676,52.313240556000004,12.386563568,56.48442467,15.48320446
23,31.3012444,0.0,36.20862554,3.09683063,41.11600668,6.19366126,46.023387819999996,9.290491889999998,50.93076896,12.38732252,55.8381501,15.48415315
24,32.1525173,0.0,37.119872634000004,3.0969499460000005,42.087227968,6.193899892000001,47.054583302000005,9.290849838,52.021938636,12.387799784000002,56.989293970000006,15.48474973
25,34.4690083,0.0,39.39494654,3.0971569700000003,44.32088478,6.194313940000001,49.24682302,9.29147091,54.17276126,12.388627880000001,59.098699499999995,15.48578485
26,31.9061382,0.0,37.524102046,3.097742782,43.142065892000005,6.195485564,48.760029738,9.293228346,54.377993584,12.390971128,59.995957430000004,15.48871391
27,31.5493311,0.0,37.42370037,3.098383042,43.29806964,6.196766084,49.17243891,9.295149126,55.04680818,12.393532168,60.92117745,15.49191521
28,31.2873891,0.0,37.266401738,3.136110046,43.245414376,6.272220092,49.224427014,9.408330138,55.203439652,12.544440184,61.18245229,15.68055023
29,30.0857013,0.0,35.96404529,3.357236724,41.842389280000006,6.714473448,47.720733270000004,10.071710172,53.59907726,13.428946896,59.47742125,16.78618362
30,31.4038857,0.0,36.797861102,3.6362263280000002,42.191836504,7.2724526560000005,47.585811906,10.908678984,52.979787308,14.544905312000001,58.37376271,18.18113164
31,35.1676041,0.0,39.867981394,3.6366691660000003,44.568358688,7.273338332000001,49.268735981999995,10.910007498,53.969113275999995,14.546676664000001,58.669490569999994,18.18334583
32,35.8261214,0.0,41.162368854,3.637297658,46.498616307999995,7.274595316,51.834863762,10.911892973999999,57.171111216,14.549190632,62.50735867,18.18648829
33,39.428769,0.0,45.231289450000006,3.637297658,51.0338099,7.274595316,56.83633035,10.911892973999999,62.6388508,14.549190632,68.44137125,18.18648829
34,51.4272051,0.0,56.27771009,3.637297658,61.12821508,7.274595316,65.97872007,10.911892973999999,70.82922505999998,14.549190632,75.67973004999999,18.18648829
35,55.9403869,0.0,60.499583142000006,3.637297658,65.058779384,7.274595316,69.617975626,10.911892973999999,74.177171868,14.549190632,78.73636811,18.18648829
36,59.5799479,0.0,63.277956892000006,3.637297658,66.975965884,7.274595316,70.673974876,10.911892973999999,74.371983868,14.549190632,78.06999286,18.18648829
37,57.8319686,0.0,62.252991148,3.637297658,66.674013696,7.274595316,71.095036244,10.911892973999999,75.516058792,14.549190632,79.93708133999999,18.18648829
38,54.2666448,0.0,58.33557271000001,3.637297658,62.40450062,7.274595316,66.47342853,10.911892973999999,70.54235644,14.549190632,74.61128435,18.18648829
39,50.8549101,0.0,53.60528449,3.637297658,56.35565887999999,7.274595316,59.10603327,10.911892973999999,61.856407659999995,14.549190632,64.60678204999999,18.18648829
40,40.2052368,0.0,44.605515172000004,3.637297658,49.005793544,7.274595316,53.406071916,10.911892973999999,57.806350288000004,14.549190632,62.20662866,18.18648829
41,40.5821938,0.0,45.070444656,3.637297658,49.558695512,7.274595316,54.04694636799999,10.911892973999999,58.535197224,14.549190632,63.02344808,18.18648829
42,45.9555047,0.0,49.902785896,3.637297658,53.850067091999996,7.274595316,57.797348287999995,10.911892973999999,61.744629483999994,14.549190632,65.69191067999999,18.18648829
43,49.2856458,0.0,52.637528324,3.637297658,55.989410848000006,7.274595316,59.341293372,10.911892973999999,62.69317589600001,14.549190632,66.04505842,18.18648829
