heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,28.6900142,0.0,33.120958096,3.279300214,37.551901992000005,6.558600428,41.982845888,9.837900642,46.41378978400001,13.117200856,50.844733680000004,16.39650107
1,31.2084578,0.0,34.75936308200001,3.607100972,38.310268364,7.214201944,41.861173646,10.821302915999999,45.41207892800001,14.428403888,48.96298421,18.03550486
2,27.6996061,0.0,31.970859814,3.5954120940000003,36.242113528000004,7.190824188000001,40.513367242,10.786236282,44.784620956,14.381648376000001,49.05587467,17.97706047
3,27.9874884,0.0,32.357319356,3.454541362,36.727150312,6.909082724,41.09698126799999,10.363624086,45.466812223999995,13.818165448,49.836643179999996,17.27270681
4,28.1626729,0.0,32.821413452,3.3697843380000005,37.480154004000006,6.739568676000001,42.138894556000004,10.109353014,46.79763510800001,13.479137352000002,51.456375660000006,16.84892169
5,28.0213627,0.0,32.80115946,3.3235444860000003,37.580956220000004,6.647088972000001,42.36075298,9.970633458,47.14054974,13.294177944000001,51.9203465,16.61772243
6,29.0016469,0.0,33.370047704,3.384432426,37.738448508000005,6.768864852,42.106849312,10.153297278,46.475250116000005,13.537729704,50.84365092,16.92216213
7,27.7816746,0.0,32.041194142,3.636998642,36.300713684,7.273997284,40.560233226,10.910995925999998,44.819752768,14.547994568,49.07927231,18.18499321
8,31.1353806,0.0,36.325981482,3.637297364,41.516582364,7.274594728,46.70718324599999,10.911892091999999,51.897784128,14.549189456,57.088385009999996,18.18648682
9,37.2348662,0.0,41.459548414000004,3.637297984,45.684230628,7.274595968,49.90891284200001,10.911893952,54.133595056000004,14.549191936,58.35827727,18.18648992
10,40.0628793,0.0,44.311383288,3.637297984,48.559887276,7.274595968,52.808391263999994,10.911893952,57.056895252000004,14.549191936,61.30539924,18.18648992
11,43.6825651,0.0,48.082082676,3.6372979960000005,52.481600252,7.274595992000001,56.881117828,10.911893988000001,61.280635404,14.549191984000002,65.68015298,18.18648998
12,46.7337019,0.0,50.440497102,3.6372979960000005,54.147292304000004,7.274595992000001,57.854087506,10.911893988000001,61.56088270800001,14.549191984000002,65.26767791,18.18648998
