Date;Filière;Frontière;Valeur (TWh)
2020-01;"Belgique/Allemagne";"";-0,94
2020-02;"Belgique/Allemagne";"";0,22
2020-03;"Belgique/Allemagne";"";0,37
2020-04;"Belgique/Allemagne";"";1,82
2020-05;"Belgique/Allemagne";"";1,74
2020-06;"Belgique/Allemagne";"";0,82
2020-07;"Belgique/Allemagne";"";-0,43
2020-08;"Belgique/Allemagne";"";0,09
2020-09;"Belgique/Allemagne";"";-0,78
2020-10;"Belgique/Allemagne";"";-0,49
2020-11;"Belgique/Allemagne";"";-0,48
2020-12;"Belgique/Allemagne";"";-1,34
2021-01;"Belgique/Allemagne";"";-2,23
2021-02;"Belgique/Allemagne";"";-0,02
2021-03;"Belgique/Allemagne";"";-1,48
2021-04;"Belgique/Allemagne";"";-2,03
2021-05;"Belgique/Allemagne";"";0,26
2021-06;"Belgique/Allemagne";"";0,82
2021-07;"Belgique/Allemagne";"";0,5
2021-08;"Belgique/Allemagne";"";0,79
2021-09;"Belgique/Allemagne";"";0,09
2021-10;"Belgique/Allemagne";"";-1,19
2021-11;"Belgique/Allemagne";"";-2,67
2021-12;"Belgique/Allemagne";"";-2,95
2022-01;"Belgique/Allemagne";"";-3,12
2022-02;"Belgique/Allemagne";"";-2,93
2022-03;"Belgique/Allemagne";"";-3,2
2022-04;"Belgique/Allemagne";"";-1,68
2022-05;"Belgique/Allemagne";"";-0,71
2022-06;"Belgique/Allemagne";"";-1,59
2022-07;"Belgique/Allemagne";"";-2,56
2022-08;"Belgique/Allemagne";"";-1,97
2022-09;"Belgique/Allemagne";"";-2,46
2022-10;"Belgique/Allemagne";"";-1,54
2022-11;"Belgique/Allemagne";"";-2,66
2022-12;"Belgique/Allemagne";"";-3,02
2023-01;"Belgique/Allemagne";"";-2,1
2023-02;"Belgique/Allemagne";"";-3,02
2023-03;"Belgique/Allemagne";"";-1,38
2023-04;"Belgique/Allemagne";"";-0,42
2023-05;"Belgique/Allemagne";"";1,8
2023-06;"Belgique/Allemagne";"";1,02
2023-07;"Belgique/Allemagne";"";-0,24
2023-08;"Belgique/Allemagne";"";0,78
2023-09;"Belgique/Allemagne";"";1,72
2023-10;"Belgique/Allemagne";"";1,79
2023-11;"Belgique/Allemagne";"";1,6
2023-12;"Belgique/Allemagne";"";0,9
2024-01;"Belgique/Allemagne";"";0,66
2024-02;"Belgique/Allemagne";"";1,7
2024-03;"Belgique/Allemagne";"";2,67
2024-04;"Belgique/Allemagne";"";1,96
2024-05;"Belgique/Allemagne";"";3,33
2024-06;"Belgique/Allemagne";"";3,15
2024-07;"Belgique/Allemagne";"";2,92
2024-08;"Belgique/Allemagne";"";2,33
2024-09;"Belgique/Allemagne";"";3,02
2024-10;"Belgique/Allemagne";"";3,57
2024-11;"Belgique/Allemagne";"";1,55
2024-12;"Belgique/Allemagne";"";0,33
2025-01;"Belgique/Allemagne";"";1,47
2025-02;"Belgique/Allemagne";"";0,4
2020-01;"Grande Bretagne";"";0,76
2020-02;"Grande Bretagne";"";1,1
2020-03;"Grande Bretagne";"";1,23
2020-04;"Grande Bretagne";"";0,94
2020-05;"Grande Bretagne";"";0,86
2020-06;"Grande Bretagne";"";0,5
2020-07;"Grande Bretagne";"";-0,24
2020-08;"Grande Bretagne";"";0,66
2020-09;"Grande Bretagne";"";0,17
2020-10;"Grande Bretagne";"";0,91
2020-11;"Grande Bretagne";"";0,99
2020-12;"Grande Bretagne";"";0,91
2021-01;"Grande Bretagne";"";1,37
2021-02;"Grande Bretagne";"";1,38
2021-03;"Grande Bretagne";"";1,51
2021-04;"Grande Bretagne";"";1,3
2021-05;"Grande Bretagne";"";1,73
2021-06;"Grande Bretagne";"";1,75
2021-07;"Grande Bretagne";"";1,91
2021-08;"Grande Bretagne";"";1,88
2021-09;"Grande Bretagne";"";1,11
2021-10;"Grande Bretagne";"";0,46
2021-11;"Grande Bretagne";"";-0,16
2021-12;"Grande Bretagne";"";-0,13
2022-01;"Grande Bretagne";"";0,07
2022-02;"Grande Bretagne";"";0,23
2022-03;"Grande Bretagne";"";
2022-04;"Grande Bretagne";"";-0,62
2022-05;"Grande Bretagne";"";-1,18
2022-06;"Grande Bretagne";"";-1,54
2022-07;"Grande Bretagne";"";-1,82
2022-08;"Grande Bretagne";"";-1,14
2022-09;"Grande Bretagne";"";-1,48
2022-10;"Grande Bretagne";"";-1,31
2022-11;"Grande Bretagne";"";-1,37
2022-12;"Grande Bretagne";"";0,23
2023-01;"Grande Bretagne";"";0,73
2023-02;"Grande Bretagne";"";0,85
2023-03;"Grande Bretagne";"";1,3
2023-04;"Grande Bretagne";"";1,07
