"Scénario","Horodatage","Demande directe non pilotable","Demande directe pilotable","Demande pour électrolyse"
"S1","2050-01-01 00:00:00",20.0146588,9.595460517,"20,16368862"
"S1","2050-01-01 01:00:00",20.42986643,5.969497542,"23,29398884"
"S1","2050-01-01 02:00:00",20.32332287,7.78423835,"21,68629638"
"S1","2050-01-01 03:00:00",21.36814927,8.658541811,"20,11969467"
"S1","2050-01-01 04:00:00",20.32694928,11.69006879,"20,11890527"
"S1","2050-01-01 05:00:00",18.7640378,13.82554697,"20,1186836"
"S1","2050-01-01 06:00:00",17.55007163,14.67484557,"20,11906495"
"S1","2050-01-01 07:00:00",18.48095811,9.179167063,"24,13990972"
"S1","2050-01-01 08:00:00",18.98533677,11.29195497,"27,20749259"
"S1","2050-01-01 09:00:00",19.72040595,14.81471292,"27,20755247"
"S1","2050-01-01 10:00:00",20.60219285,17.58095573,"27,20755247"
"S1","2050-01-01 11:00:00",20.55369497,20.43825185,"27,20755251"
"S1","2050-01-01 12:00:00",18.79111404,20.44817064,"27,20755251"
"S1","2050-01-01 13:00:00",20.32131049,20.84875192,"27,20755251"
"S1","2050-01-01 14:00:00",22.09777178,15.26897129,"27,20755247"
"S1","2050-01-01 15:00:00",21.69435339,9.729091499,"25,61396638"
"S1","2050-01-01 16:00:00",21.89449664,9.615783095,"22,36272906"
"S1","2050-01-01 17:00:00",22.5759431,9.437649511,"22,3146026"
"S1","2050-01-01 18:00:00",24.04335561,7.704099097,"20,11852671"
"S1","2050-01-01 19:00:00",24.99706015,7.35732782,"20,76147679"
"S1","2050-01-01 20:00:00",24.54351231,7.49598921,"21,81707549"
"S1","2050-01-01 21:00:00",23.70448085,9.143158251,"22,31528062"
"S1","2050-01-01 22:00:00",18.44359098,13.7986194,"22,31626816"
"S1","2050-01-01 23:00:00",15.71269265,16.03555553,"22,36522617"
"S1","2050-01-02 00:00:00",20.65010067,12.01096367,"22,31841588"
"S1","2050-01-02 01:00:00",24.10446454,9.797339474,"22,32241701"
"S1","2050-01-02 02:00:00",23.07655265,10.84158131,"22,90418357"
"S1","2050-01-02 03:00:00",23.85780471,11.30004192,"22,84099772"
"S1","2050-01-02 04:00:00",22.93741982,12.89698772,"22,88745708"
"S1","2050-01-02 05:00:00",21.87439608,13.73739518,"22,91800836"
"S1","2050-01-02 06:00:00",21.54835375,14.85378107,"22,31883295"
"S1","2050-01-02 07:00:00",23.92221283,15.47463233,"22,72858279"
"S1","2050-01-02 08:00:00",25.95990473,16.15269507,"23,71077366"
"S1","2050-01-02 09:00:00",27.88382638,16.48638256,"24,83869278"
"S1","2050-01-02 10:00:00",29.41982612,18.71946961,"25,42000915"
"S1","2050-01-02 11:00:00",29.62060617,18.13744154,"25,74463159"
"S1","2050-01-02 12:00:00",27.82416551,20.92937863,"25,39734448"
"S1","2050-01-02 13:00:00",29.16940694,18.45805556,"25,15865641"
"S1","2050-01-02 14:00:00",30.40069443,13.4571136,"24,59434023"
"S1","2050-01-02 15:00:00",30.14134624,10.64461533,"22,90482525"
"S1","2050-01-02 16:00:00",30.2312912,8.084518202,"14,86920551"
"S1","2050-01-02 17:00:00",30.69258046,8.060923041,"11,28682576"
"S1","2050-01-02 18:00:00",32.24041327,6.994003447,"7,782669599"
"S1","2050-01-02 19:00:00",33.54218693,8.250715176,"11,18876507"
"S1","2050-01-02 20:00:00",32.8335868,7.449837688,"13,32652875"
"S1","2050-01-02 21:00:00",30.5050585,8.135793568,"15,50865203"
"S1","2050-01-02 22:00:00",24.28597382,9.626904642,"20,60177294"
"S1","2050-01-02 23:00:00",21.25187699,11.16384961,"21,93229267"
"S1","2050-01-03 00:00:00",24.03744699,11.77018394,"20,11926554"
"S1","2050-01-03 01:00:00",27.42408711,9.365179872,"20,11775503"
"S1","2050-01-03 02:00:00",26.50308355,10.43257903,"20,11823784"
"S1","2050-01-03 03:00:00",27.15002585,11.79521302,"20,11832612"
"S1","2050-01-03 04:00:00",25.95711041,11.92907266,"20,73817118"
"S1","2050-01-03 05:00:00",24.60937719,12.40798995,"21,66535296"
"S1","2050-01-03 06:00:00",23.88325883,14.95446916,"20,12149384"
