heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,31.55901562,0.0,35.416159232000005,3.279300214,39.273302844,6.558600428,43.130446456,9.837900642,46.98759006800001,13.117200856,50.844733680000004,16.39650107
1,34.32930358,0.0,37.256039706,3.607100972,40.182775832000004,7.214201944,43.109511958,10.821302915999999,46.03624808400001,14.428403888,48.96298421,18.03550486
2,30.46956671,0.0,34.186828302,3.5954120940000003,37.904089893999995,7.190824188000001,41.621351486,10.786236282,45.338613078,14.381648376000001,49.05587467,17.97706047
3,30.78623724,0.0,34.596318428,3.454541362,38.406399616,6.909082724,42.216480804,10.363624086,46.026561992,13.818165448,49.836643179999996,17.27270681
4,30.97894019,0.0,35.074427284,3.3697843380000005,39.169914378,6.739568676000001,43.265401472,10.109353014,47.36088856600001,13.479137352000002,51.456375660000006,16.84892169
5,30.82349897,0.0,35.042868476,3.3235444860000003,39.262237982,6.647088972000001,43.481607488,9.970633458,47.700976994,13.294177944000001,51.9203465,16.61772243
6,31.90181159,0.0,35.690179456,3.384432426,39.478547322,6.768864852,43.266915188,10.153297278,47.055283054,13.537729704,50.84365092,16.92216213
7,30.55984206,0.0,34.26372811,3.636998642,37.96761416,7.273997284,41.67150021,10.910995925999998,45.37538626,14.547994568,49.07927231,18.18499321
8,34.24891866,0.0,38.81681193,3.637297364,43.3847052,7.274594728,47.95259847,10.911892091999999,52.52049174,14.549189456,57.088385009999996,18.18648682
9,40.95835282,0.0,44.438337710000006,3.637297984,47.9183226,7.274595968,51.39830749000001,10.911893952,54.878292380000005,14.549191936,58.35827727,18.18648992
10,44.06916723,0.0,47.516413632,3.637297984,50.963660034,7.274595968,54.410906436,10.911893952,57.858152838,14.549191936,61.30539924,18.18648992
11,48.05082161,0.0,51.57668788400001,3.6372979960000005,55.102554158000004,7.274595992000001,58.628420432,10.911893988000001,62.154286706,14.549191984000002,65.68015298,18.18648998
12,51.40707209,0.0,54.179193254000005,3.6372979960000005,56.951314418,7.274595992000001,59.723435582,10.911893988000001,62.495556746000005,14.549191984000002,65.26767791,18.18648998
13,48.97488541,0.0,52.19068567200001,3.6372979960000005,55.406485934,7.274595992000001,58.622286196000005,10.911893988000001,61.83808645800001,14.549191984000002,65.05388672000001,18.18648998
14,40.77343226,0.0,44.751842314,3.637297984,48.730252368,7.274595968,52.708662422,10.911893952,56.687072476000004,14.549191936,60.665482530000006,18.18648992
15,36.80276974,0.0,40.700925544,3.6372971200000004,44.599081348,7.274594240000001,48.497237152000004,10.91189136,52.395392956,14.549188480000002,56.29354876000001,18.1864856
16,34.51410457,0.0,38.458370088,3.12059144,42.402635606000004,6.24118288,46.346901124,9.36177432,50.291166642,12.48236576,54.23543216,15.6029572
17,35.47043808,0.0,39.600100016,3.1205667200000002,43.729761952000004,6.2411334400000005,47.859423887999995,9.36170016,51.989085824,12.482266880000001,56.11874776,15.6028336
18,37.43556762,0.0,41.160217424,2.887160096,44.884867228000005,5.774320192,48.60951703200001,8.661480288,52.33416683600001,11.548640384,56.05881664,14.43580048
19,40.71424115,0.0,43.67019745,2.9042773220000004,46.62615375,5.808554644000001,49.58211005,8.712831966,52.53806635,11.617109288000002,55.49402265,14.52138661
20,44.39376381,0.0,46.149542938,3.10546441,47.905322066,6.21092882,49.661101194,9.31639323,51.416880322,12.42185764,53.17265945,15.52732205
21,41.73005331,0.0,44.386549380000005,3.120474712,47.04304545,6.240949424,49.699541520000004,9.361424136,52.35603759,12.481898848,55.01253366,15.60237356
22,39.19135451,0.0,42.241034918,3.120639786,45.290715326,6.241279572,48.340395734,9.361919358,51.390076142,12.482559144,54.43975655,15.60319893
23,34.43136884,0.0,38.34105239,3.1206607720000004,42.25073594,6.241321544000001,46.160419489999995,9.361982316,50.07010304,12.482643088000001,53.97978659,15.60330386
24,35.36776903,0.0,39.31585197,3.120678454,43.26393491,6.241356908,47.212017849999995,9.362035362,51.16010079,12.482713816,55.10818373,15.60339227
25,37.91590913,0.0,41.516246734000006,3.1207021860000004,45.116584338,6.241404372000001,48.716921942,9.362106558,52.317259546,12.482808744000002,55.91759715,15.60351093
26,35.09675202,0.0,39.392663496,3.120736474,43.688574972,6.241472948,47.984486448,9.362209422,52.280397924000006,12.482945896,56.5763094,15.60368237
27,34.70426421,0.0,39.330831428,3.1207803100000002,43.957398646,6.2415606200000004,48.58396586400001,9.36234093,53.210533082000005,12.483121240000001,57.8371003,15.60390155
28,34.41612801,0.0,39.286195704,3.120848198,44.156263398,6.241696396,49.026331092,9.362544594,53.896398786,12.483392792,58.76646648,15.60424099
29,33.09427143,0.0,38.294901906,3.12095842,43.495532382,6.24191684,48.696162858,9.36287526,53.896793334,12.48383368,59.097423809999995,15.6047921
30,34.54427427,0.0,39.57003748,3.1211636160000005,44.595800690000004,6.242327232000001,49.6215639,9.363490848,54.64732711,12.484654464000002,59.67309032,15.60581808
31,38.68436451,0.0,43.714614224,3.1217837520000002,48.74486393800001,6.2435675040000005,53.775113652,9.365351256,58.80536336600001,12.487135008000001,63.83561308,15.60891876
32,39.40873354,0.0,45.125946024,3.251038062,50.843158508,6.502076124,56.560370992,9.753114186,62.277583476000004,13.004152248,67.99479596,16.25519031
33,43.3716459,0.0,49.206977022,3.3955195420000006,55.042308144,6.791039084000001,60.877639266,10.186558626,66.712970388,13.582078168000002,72.54830151,16.97759771
34,56.56992561,0.0,60.509848992,3.4250630639999997,64.44977237399999,6.850126127999999,68.389695756,10.275189192,72.329619138,13.700252255999999,76.26954252,17.12531532
35,61.53442559,0.0,64.889952706,3.5692026660000007,68.245479822,7.138405332000001,71.601006938,10.707607998,74.956534054,14.276810664000003,78.31206116999999,17.84601333
36,65.53794269,0.0,68.129514626,3.5725304080000004,70.72108656200001,7.145060816000001,73.312658498,10.717591224,75.90423043400001,14.290121632000002,78.49580237,17.86265204
37,63.61516546,0.0,66.36177105200001,3.5097203620000004,69.108376644,7.019440724000001,71.85498223600001,10.529161086,74.601587828,14.038881448000001,77.34819342,17.54860181
38,59.69330928,0.0,62.24374632400001,3.448257468,64.794183368,6.896514936,67.344620412,10.344772403999999,69.895057456,13.793029872,72.4454945,17.24128734
39,55.94040111,0.0,57.818897152000005,3.358126074,59.697393194,6.716252148,61.575889235999995,10.074378221999998,63.454385278,13.432504296,65.33288132,16.79063037
40,44.22576048,0.0,47.997630224,3.3421888099999997,51.769499968,6.684377619999999,55.541369712,10.026566429999999,59.313239456,13.368755239999999,63.0851092,16.71094405
41,44.64041318,0.0,48.389914254000004,3.35254918,52.139415328,6.70509836,55.88891640200001,10.05764754,59.638417476,13.41019672,63.38791855,16.7627459
42,50.55105517,0.0,53.551137402,3.1204309720000003,56.55121963399999,6.240861944000001,59.551301866,9.361292916,62.55138409799999,12.481723888000001,65.55146633,15.60215486
43,54.21421038,0.0,56.861074466,3.027072136,59.507938552,6.054144272,62.15480263799999,9.081216408,64.801666724,12.108288544,67.44853081,15.13536068
44,48.25845794,0.0,51.509631072000005,3.0568343280000003,54.760804203999996,6.113668656000001,58.011977336,9.170502984,61.263150468,12.227337312000001,64.5143236,15.28417164
45,47.4864016,0.0,50.344888434,3.120397098,53.203375268,6.240794196,56.06186210199999,9.361191294,58.920348935999996,12.481588392,61.77883577,15.60198549
